s,name
10351383b,Rollemberg–Vuolo Road–Railway Bridge
10351452b,Burgo Bridge
10351466b,Ponte de Prozelo
10352192h,Convento das Chagas (Vila Viçosa)
10352195h,Convento dos Lóios
10352198h,Pousada de Condeixa-a-Nova
10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém
10352206h,Pousada de Viseu
10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento
10352211h,Convento de Nossa Senhora da Boa Esperança
10352218h,Solar da Rede
10352219h,Convento dos Lóios
1035562m,Ottó Herman Museum
10356402m,Quinta do Sumidouro
1035742b,Cardiff Castle
10359230b,Renaissance São Paulo Hotel
103618349m,306th Bombardment Group Museum
103621847m,1940s Swansea Bay Museum
103623268m,201 Squadron Museum
1036560m,Carl-Maria-von-Weber-Museum
10367728m,Edifício e Igreja da Santa Casa da Misericórdia da Lourinhã
10368094m,Farol Santander
1037126m,Carl Bosch Museum Heidelberg
10373050m,Solar do Jambeiro
10373052m,Solar do Ribeirinho
10376080b,Olinda Cathedral
10376507m,House of Sítio de Morrinhos
103776961m,Picker Art Gallery
103790440m,Longyear Museum of Anthropology
103802422m,389th Bomb Group Memorial Exhibition
103807293m,390th Bombardment Group Memorial Air Museum
103810512m,Museum of the British Resistance Organisation
103811640m,9th/12th Royal Lancers Museum
103812976m,Musée Régional Djermakoye
103813473m,A World In Miniature Museum
103813610m,The Crypt Museum
10381549m,The Leonardo
103818049b,Colesberg Bridge
103826502m,Bet Knesset Synagogue
103843155b,Centre culturel L'Aronde
103843205m,medersa loukach
103849450m,Museum De Kantfabriek
103861978m,Hugh Miller Museum & Birthplace Cottage
10396695m,Yunnan-Myanmar Anti-Japanese War Museum
10400349m,Yanhuang Surname Museum
1040043b,San Geremia
10403938m,Archive and museum of the Academic Society in Lund
10404320m,Albert Engström's studio
104062612b,Tunnel sous la citadelle de Besançon
1040637b,Eglinton
1040650b,Osgoode
1040665b,Queen's Park
104083353h,Commercial Hotel
104089642b,Canal tunnel of Niderviller
104089749b,Tunnel of Braye-en-Laonnois
104091923b,Tunnel of Condes
104092305m,Art Museum of South Texas
104092585b,Voûtes de La Collancelle
104093056m,Casa de Cultura de Água Fria
104093065m,Museu Municipal Napoleão de Mattos Macêdo
104093112m,Museu de Arte Sacra do Recôncavo
104093133m,Museu Do Cacau - Núcleo Ilhéus
104093172m,Museu Histórico De Jequié Coronel João Borges
104093333m,Fundação Museu Regional Do São Francisco
104094413m,Memorial Cidade Luis Eduardo Magalhães
104094414m,Museu Antônio Machado
104094417m,Casa de Cultura De Mutuípe
104094419m,Museu Histórico Emília Sulz
104094422m,Museu Evolução da Informática e Tecnologia
104094423m,Museu da Casa Colonial
104094424m,Museu de Arte Sacra de Porto Seguro
104094437m,Museu do Sertão Antonio Coelho
104094438m,Museu Zofir Brasil
104094483m,Centro de Documentação e Memória de Alagoinhas
104096341m,Museu do Lavrador
104097077m,Museu Literário Profª Amélia Barreto De Souza
104097094m,Universidade da Criança e do Adolescente
104097175m,Memorial Tayler Egídio
104097189m,Museu Ilê Ohun Lailai
104097201m,Casa Museu Solar Santo Antônio
104097204m,Memorial Lajoumim - Terreiro Pilão de Prata
104097206m,Museu do Carmo
104097207m,Núcleo de Memória de Enfermagem
104097208m,Museu do Recolhimento dos Humildes
104097209m,Casa  do  Samba - Centro de Referência do Samba de Roda do Recôncavo
104097210m,Centro Cultural Themístocles Pires de Cerqueira
104097211m,Centro Cultural dannemman
104097212m,Museu da Memória de São Gabriel
104097213m,Museu do Gonzagão
104097214m,Museu Miguel Ferreira Araújo
104097215m,Memorial Padre José Gumercindo
104097216m,Museu Regional Hélcio Andrade
104097218m,Casa da Cultura Otacílio Novaes
104097219m,Memorial de Valença
104097368m,Museu de Antiguidades Sr. Onildo Silva
104097435m,Casa da Música da Bahia
104097437m,Museu do Cacau
104097438m,Palácio da Aclamação Casa de Cerimonial e Museu
104097444m,Coleção Emília Biancardi
104097446m,Memorial do Meio Ambiente Professor Milton Santos
104097448m,Museu da Ordem Terceira de São Francisco
104097449m,Museu de Zoologia da FTC
104097451m,Museu de Armaria do Ministério do Exército
104097453m,Coleção de Arte Popular Lina Bo Bardi
104097455m,Museu do Presépio de Salvador
104097458m,Memória da Mata Atlântica
104097541m,Museu do Corpo de Bombeiros da Polícia Militar da Bahia
104097678m,Museu Napoleão Ferraz de Araújo
104097679m,Museu das Alfaias
104097680m,Museu Gilson Meireles
104097683m,Museu Vivo do Garimpeiro
104097684m,Parque Nacional do Pau Brasil
104097685m,Centro Cultural Correios
104097686m,Museu de História Natural Herbário Alexandre Leal
104097687m,Museu do Convento do Desterro
104097688m,Museu do Índio
104097689m,Museu do Centro Histórico de Santa Maria da Vitória
104097690m,Museu do Memorial Francisco Guarany
104097691m,Museu Escola de Tecnologia Rural
104097693m,Museu da Luz
1041232b,Tokorozawa Aviation Museum
104125939b,Grand Pont d'Ornans
10413351b,Doha Tower
10413418m,Wang Xuezhong Art Museum
104144801b,Pont sur la Loue de Vuillafans
104144921b,Montejaque Dam
1041478b,Sheppard West
1041505b,St. Clair West
104157193m,Edo Museum of West African Art
1041606b,Dupont
1041612b,Old Mill
104170346m,Matsu Blue Tears Ecological Museum
1041737m,Carleton University
1041796b,Runnymede
1041831b,Ossington
10419743b,Štefanik Bridge
1042102b,Ellesmere
1042118b,Greenwood
1042137b,Donlands
104216887b,Nölliturm
1042170b,Warden
1042178b,Leslie
104219666b,Tronquoy tunnel
104220570b,Tunnel of Balesmes
1042207b,Chester
104223675b,Voûte de Billy
104224661b,Stura di Valgrande viaduct
104234251h,British Hotel
10423435m,Autoseum
10423688m,Axel Ebbe's art gallery
104237660m,Memorial Hall Museum
10424690m,Baghdadi Museum
104249648m,Grammophonicum
10426084m,Yilan Distillery Chia Chi Lan Liquor Museum
1042639b,Scarborough Centre
10427890m,Bellman house
10427893m,Bellman museum
10428447m,Bergman Center
10429277m,980 Hospital of the People's Liberation Army Joint Logistic Support Force
10429834m,Biotopia
10429920m,Birgit Nilsson Museum
10430533m,Björkborn Manor
10430701b,Pori Old Town Hall
10432135m,Bohuslän Museum
10433908m,Bottarve
10434046m,Boxholms bruksmuseum
1043438b,Guangzhou International Finance Center
10434733m,Simonstorp Fire Brigade Museum
104381465b,Sluiskil Bridge
104381471m,Museo civico
104386988m,Illusion Art Museum Prague
10439349m,Café Columbia
1043966b,Carnegie Hall Tower
1044149b,Carol I Mosque
104425267b,Viaduc ferroviaire de Saint-Clair
1044279b,Carola Bridge
10443031m,Carl Eldhs Ateljémuseum
10443072m,Carl Larsson-gården
104441744m,Van Doesburg-Rinsemahuis
1044613b,Helsinki Central Railway Station
10448224b,Chalmerstunneln
1044833b,Carquinez Bridge
1044919b,Line E
104519416m,Phippen Museum
104520611b,Pont de Buidaoli
104520764b,Serrallo tunnels
104527429m,Theocharakis Foundation
104529940b,Social Science Research Center Berlin
104531835m,La Casa del Libro (Puerto Rico)
104535035b,Pont Winston Churchill
10453586b,Cité de refuge
1045385b,Carré d'art
104587975m,Ashland Historical Society Museum
10458963m,Cooma Monaro Railway
10459776m,Cornelis Vreeswijk Museum
104603077b,Hyde Park Footbridge
104604487m,Russell Museum
104611489m,Robotland
104612792m,Lalla Rookh Museum
1046135b,Empower Field at Mile High
1046405b,Casa Calvet
1046414m,Luis Barragán House and Studio
104641515b,Gallo-Roman Theatre of Alesia
1046467m,Casa Stefan Zweig
1046529m,Casa de Pilatos
1046564b,Casa de las Conchas
10466067m,Dalarna sports museum
10466069m,Dalarnas Museum
10466082m,Dalarö custom house
10466596b,embassy of Denmark in Germany
104666850b,Stüppelturm
104669707m,Selim Sırrı Pasha Mansion
1046736b,Rainbow Bridge
104693069m,Alemannimuseum Maeder
104693458m,Vanished World Centre
104698654m,Shōwakan
104698890m,Sandefjord bymuseum
104708964m,Maison LePailleur - Société du musée du grand Châteauguay
104708970m,Musée de société des Deux-Rives
104708990m,Musée canadien de l'arme et du bronze inc.
104713155m,Tolmeita Museum
104713157m,"Museum, Qasr Libya"
104713411m,Villa Funka
104721896m,Shimane Kenritsu YAKUMOTATSU FUDOKI-NO-OKA
104723730b,Museum aan de Stroom (building)
104730345m,Municipal museum of Loures
104732316b,Casino Palm Beach
1047372b,Guangzhou railway station
10474049m,Disagården open air museum
104759138m,HIPPO.WAR
104762344m,Bisa Abrewa Museum
10476433m,Drag power station
104764650b,Carl-Alexander-Tower
104768924m,Vojtech Löffler Museum
10477004m,Drottningskär Citadel
104773079m,museum of world wars
10477543m,Dunbodi
104783590m,Winedale Historical Center
104805237m,Maison Fusier
104817303m,Zlitan Museum
104818158b,Stará lávka na Kmochův ostrov
104827844m,Pustaka Lontar Museum
104830558h,Welsbach Building
104831902m,Casa da Câmara e Cadeia de Porto Seguro
104840705m,Brattleboro Museum and Art Center
104847273m,Nemuro City Museum of History and Nature
104847659b,Bamban Bridge
104849335m,MiQua museum
104852118m,Khorasan Great Museum
104853511m,Liverpool Beatles Museum
104854327m,East End Women's Museum
104857413m,Coney Island History Project
1048587b,St. John the Baptist Cathedral
104860479b,Suspension bridge over Cuyuní river
104863848m,The Museum of Everyday Life
1048673b,Shinjuku Nomura Building
1048694b,Russian State Library
104869793m,The Rifles Museum
1048705m,Castle of the Three Dragons
10488329m,Ernst Rolf's birthplace
1048836b,Castello Estense
104902212m,Porselensmuseet
104902580m,Kittelsen house
1049027h,Jumeirah Emirates Towers Hotel
104902896m,Museum of Homelessness
104902940m,Museo ning Angeles
104904427m,Collection d'oeuvres d'art de l'Université de Montréal
1049065b,Castielertobel Viaduct
1049197m,Castle of Gibralpharo
1049209h,The Venetian
104922828b,Helleberg Observation Tower
104923543m,Saint Mamas Church and Icon Museum
1049274m,Castillo de la Luz
10492794m,Evert Taube's world
1049302b,Castillo de la Real Fuerza
10493439m,Flygmuseet F 21
10493441m,F 7 Museum
1049348b,Auch Cathedral
