s,name,cname
113110739m,Rose Street Cottage of Curiosities,United Kingdom
113119123m,Wollaston Museum,United Kingdom
113119473m,Muthill Village Museum,United Kingdom
113119549m,The Staithes Story,United Kingdom
113119625m,Ballance House,United Kingdom
113125408m,Coldstream Museum,United Kingdom
113125805m,London General Cab Company Museum,United Kingdom
113125999m,Tewkesbury Heritage & Visitor Centre,United Kingdom
113126021m,The Printing House Museum,United Kingdom
113137456m,Ventnor Heritage Museum,United Kingdom
113137580m,Otford Heritage Centre,United Kingdom
113170802m,National Trust of Guernsey Folk and Costume Museum,United Kingdom
113206434m,Marton Museum of Country Bygones,United Kingdom
113206529m,Wygstons House Museum of Costume,United Kingdom
113206897m,Harveys Sherry Museum,United Kingdom
113207227m,Whitchurch Heritage Centre,United Kingdom
113207317m,The Time Machine Museum of Science Fiction,United Kingdom
113207895m,Fred Dibnah Heritage Centre,United Kingdom
113207941m,Whitby Jet Heritage Centre,United Kingdom
113207964m,RNCM Collection of Historic Musical Instruments,United Kingdom
113256217b,Scarborough Rail Bridge,United Kingdom
113261202m,Museum of The Home,United Kingdom
113261646m,Postal Museum,United Kingdom
113261802m,Fans Museum,United Kingdom
113262389m,Newhaven Museum,United Kingdom
113262647m,Totnes Motor Museum,United Kingdom
113263582m,Wirral Museum,United Kingdom
113263676m,Carnegie Inverurie Museum,United Kingdom
113263686m,St Annes Chapel and Old Grammar School Museum,United Kingdom
113263701m,Greenwich Borough Museum,United Kingdom
113263756m,Military Museum Scotland,United Kingdom
113263766m,Richmond Castle Museum,United Kingdom
113280054m,Macgillivray Centre,United Kingdom
113280070m,Ty Ebbw Fach Heritage Centre,United Kingdom
113292368m,Lowestoft Museum,United Kingdom
113296096m,Orford Museum,United Kingdom
113296113m,Lanman Museum,United Kingdom
113296169m,Ramsgate Museum,United Kingdom
113296183m,Ramsgate Motor Museum,United Kingdom
113296230m,Ramsgate Tunnels,United Kingdom
113296519m,Kings Own Yorkshire Light Infantry Museum,United Kingdom
113297025m,Brander Museum,United Kingdom
113308069m,Yesterdays World,United Kingdom
113308077m,Royal Naval Patrol Service Association Museum,United Kingdom
113308191m,Maritime Museum for East Anglia,United Kingdom
113308220m,Louis Tussauds House Of Wax Museum,United Kingdom
113308731m,Martham Countryside Collection,United Kingdom
113308901m,William Clowes Printing Museum,United Kingdom
113308981m,The Red House,United Kingdom
113309405m,Sotterley Agricultural Museum,United Kingdom
113309437m,Wind Energy Museum,United Kingdom
113309473m,Beccles and District Museum,United Kingdom
113309519m,Sutton Windmill & Broads Museum,United Kingdom
113309657m,Middlesbrough Art Gallery,United Kingdom
113309705m,Cleveland Crafts Centre,United Kingdom
113309969m,Suffolk Underwater Studies Museum,United Kingdom
113310082m,Stalham Firehouse Museum,United Kingdom
113310214m,Halesworth and District Museum,United Kingdom
113310270m,Saxmundham Museum,United Kingdom
113310314m,The Suffolk Punch Trust Heritage Museum,United Kingdom
113310449m,Morris Motors Museum,United Kingdom
113310621m,Bentwaters Cold War Museum,United Kingdom
113310920m,Defence of the Nation Museum and Education Centre,United Kingdom
113311877m,Museum of The Northamptonshire Regiment,United Kingdom
113322894m,Norfolks Golden Fleece Heritage Museum,United Kingdom
113323706m,Bawdsey Radar,United Kingdom
113324964m,Deal Society Heritage Centre and Victoriana Museum,United Kingdom
113330833m,The Zaha Hadid Foundation,United Kingdom
113334561m,Deal Museum,United Kingdom
113334586m,St John Ambulance Museum,United Kingdom
113357026m,North Walsham Heritage Centre,United Kingdom
113357145m,St Margaret's Museum,United Kingdom
113357272m,Norfolk Motorcycle Museum,United Kingdom
113357363m,British Magic Museum,United Kingdom
