s,cname,name,c_id
http://example.com/heritage/id/1414691w,Japan,Mukojima,http://example.com/country/id/17
http://example.com/heritage/id/1476235w,Japan,Seiganto-ji,http://example.com/country/id/17
http://example.com/heritage/id/1516753w,Japan,Saihō-ji,http://example.com/country/id/17
http://example.com/heritage/id/16482294w,Japan,"Fujisan, sacred place and source of artistic inspiration",http://example.com/country/id/17
http://example.com/heritage/id/17209498w,Japan,Takayama-sha,http://example.com/country/id/17
http://example.com/heritage/id/17210757w,Japan,Tajima Yahei Sericulture Farm,http://example.com/country/id/17
http://example.com/heritage/id/17212161w,Japan,Rakan-ji,http://example.com/country/id/17
http://example.com/heritage/id/17226685w,Japan,Kakinoshima Site,http://example.com/country/id/17
http://example.com/heritage/id/174139w,Japan,Iwami Ginzan Silver Mine,http://example.com/country/id/17
http://example.com/heritage/id/1741668w,Japan,Kimpusen-ji,http://example.com/country/id/17
http://example.com/heritage/id/1759226w,Japan,Tenryū-ji,http://example.com/country/id/17
http://example.com/heritage/id/188754w,Japan,Himeji Castle,http://example.com/country/id/17
http://example.com/heritage/id/191763w,Japan,Itsukushima Shrine,http://example.com/country/id/17
http://example.com/heritage/id/20042067w,Japan,Nirayama Reverberatory Furnaces,http://example.com/country/id/17
http://example.com/heritage/id/20043361w,Japan,Ebisugahana Shipyard,http://example.com/country/id/17
http://example.com/heritage/id/20207875w,Japan,Mukōjima,http://example.com/country/id/17
http://example.com/heritage/id/20637540w,Japan,Hagi Reverberatory Furnace,http://example.com/country/id/17
http://example.com/heritage/id/211585w,Japan,Heijō Palace,http://example.com/country/id/17
http://example.com/heritage/id/21653676w,Japan,Terayama Charcoal Kiln,http://example.com/country/id/17
http://example.com/heritage/id/221716w,Japan,Kiyomizu-dera,http://example.com/country/id/17
http://example.com/heritage/id/231140w,Japan,Hiroshima Peace Memorial,http://example.com/country/id/17
http://example.com/heritage/id/2326743w,Japan,Shōkasonjuku Academy,http://example.com/country/id/17
http://example.com/heritage/id/2338956w,Japan,Zakimi Castle,http://example.com/country/id/17
http://example.com/heritage/id/242176w,Japan,Yakushima,http://example.com/country/id/17
http://example.com/heritage/id/2471589w,Japan,Katsuren Castle,http://example.com/country/id/17
http://example.com/heritage/id/2498312w,Japan,Hara Castle,http://example.com/country/id/17
http://example.com/heritage/id/257473w,Japan,Ginkaku-ji,http://example.com/country/id/17
http://example.com/heritage/id/2585020w,Japan,Fudarakusan-ji,http://example.com/country/id/17
http://example.com/heritage/id/2660144w,Japan,Chūson-ji,http://example.com/country/id/17
http://example.com/heritage/id/270983w,Japan,Kinkaku-ji,http://example.com/country/id/17
http://example.com/heritage/id/285468w,Japan,Hashima Island,http://example.com/country/id/17
http://example.com/heritage/id/28682892w,Japan,Meijima,http://example.com/country/id/17
http://example.com/heritage/id/28690431w,Japan,Ōfune Site,http://example.com/country/id/17
http://example.com/heritage/id/2896261w,Japan,"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",http://example.com/country/id/17
http://example.com/heritage/id/2943310w,Japan,Yawata Steel Works,http://example.com/country/id/17
http://example.com/heritage/id/30593786w,Japan,Futatsumori Site,http://example.com/country/id/17
http://example.com/heritage/id/3077344w,Japan,Ōminesan-ji,http://example.com/country/id/17
http://example.com/heritage/id/3080218w,Japan,Kanjizaiō-in,http://example.com/country/id/17
http://example.com/heritage/id/30925787w,Japan,Magodayūyama Kofun,http://example.com/country/id/17
http://example.com/heritage/id/3179279w,Japan,Jison-in,http://example.com/country/id/17
http://example.com/heritage/id/3197197w,Japan,Kinpu Shrine,http://example.com/country/id/17
http://example.com/heritage/id/324638w,Japan,Sacred Island of Okinoshima and Associated Sites in the Munakata Region,http://example.com/country/id/17
http://example.com/heritage/id/3342246w,Japan,Niukanshōfu Shrine,http://example.com/country/id/17
http://example.com/heritage/id/335618w,Japan,Kumano Hayatama Taisha,http://example.com/country/id/17
http://example.com/heritage/id/3529714w,Japan,Yoshino Mikumari Shrine,http://example.com/country/id/17
