s,country_id,name
1426968h,http://example.com/country/id/30,Flamingo Las Vegas
1429071h,http://example.com/country/id/30,New York-New York Hotel and Casino
1430318h,http://example.com/country/id/159,Rossiya Hotel
1436845h,http://example.com/country/id/30,Cosmopolitan of Las Vegas
145361h,http://example.com/country/id/79,Gezirah Palace
1457875h,http://example.com/country/id/38,Villa Crespi
14683065h,http://example.com/country/id/30,"333 Battery Street, San Francisco,"
14689609h,http://example.com/country/id/30,Jackson Hotel
14693298h,http://example.com/country/id/30,Magnolia Hotel
14705265h,http://example.com/country/id/30,Resorts World Las Vegas
14753688h,http://example.com/country/id/29,"Casa Alberola Alicante, Curio Collection by Hilton"
1481002h,http://example.com/country/id/145,The Ritz London
14954702h,http://example.com/country/id/145,107 Piccadilly
1504641h,http://example.com/country/id/183,Kaufhaus Jonaß
15068974h,http://example.com/country/id/794,Zein-o-Din Caravanserai
1514587h,http://example.com/country/id/30,The Palazzo
15228738h,http://example.com/country/id/28,InterContinental Budapest
1535018h,http://example.com/country/id/30,Golden Nugget Las Vegas Hotel & Casino
1535845h,http://example.com/country/id/30,Riviera Hotel and Casino
1541365h,http://example.com/country/id/30,Renaissance Center
15640601h,http://example.com/country/id/29,Palacio del Marqués de Velada
1580067h,http://example.com/country/id/30,Harrah's Las Vegas
1585008h,http://example.com/country/id/30,Hard Rock Hotel and Casino
15909474h,http://example.com/country/id/148,Hengshan Picardie Hotel
15923583h,http://example.com/country/id/148,Conrad Hong Kong
15978898h,http://example.com/country/id/145,Berry Head House
16256099h,http://example.com/country/id/145,The Caledonian
1630814h,http://example.com/country/id/39,Hotel Weiss Kreuz
1630833h,http://example.com/country/id/183,"Hotel Berlin, Berlin"
1630837h,http://example.com/country/id/39,Hotel Bodenhaus
1630911h,http://example.com/country/id/36,Hilton Warsaw City
16318627h,http://example.com/country/id/17,Abeno Harukas
1637090h,http://example.com/country/id/30,"South Point Hotel, Casino & Spa"
16528268h,http://example.com/country/id/142,Aquarium et Musée de la Mer de Dinard
16621592h,http://example.com/country/id/38,Villa Torretta
167870h,http://example.com/country/id/30,Boardwalk Hotel and Casino
1682221h,http://example.com/country/id/183,Dagebüll lighthouse
16833188h,http://example.com/country/id/183,Lloyd-Bahnhof
16843761h,http://example.com/country/id/29,Hilton Diagonal Mar Barcelona
168575h,http://example.com/country/id/148,CTF Finance Centre
16890775h,http://example.com/country/id/408,Crown Sydney
16949846h,http://example.com/country/id/30,B&O Railroad Headquarters Building
16995460h,http://example.com/country/id/30,Wyndham Springfield City Centre
17043498h,http://example.com/country/id/184,Viciebsk
17183802h,http://example.com/country/id/145,"Castle Hotel, Ruthin"
17226268h,http://example.com/country/id/17,Hilton Tokyo
17229982h,http://example.com/country/id/17,Hilton Fukuoka Sea Hawk
17390148h,http://example.com/country/id/45,Citadel of Cascais
1743514h,http://example.com/country/id/30,Kirkland Hotel
17444603h,http://example.com/country/id/183,Hilton Frankfurt Airport
17444624h,http://example.com/country/id/183,Hilton Garden Inn Frankfurt Airport
17444904h,http://example.com/country/id/145,DoubleTree by Hilton Hotel London - Docklands Riverside
17512898h,http://example.com/country/id/16,Arlington Hotel
17532427h,http://example.com/country/id/145,Stanley House
17533843h,http://example.com/country/id/145,Polebarn House
17534979h,http://example.com/country/id/145,5 and 7 High Street and Falcon Hotel Annexe
17544934h,http://example.com/country/id/145,Barton Seagrave Hall
17549646h,http://example.com/country/id/145,"2, 3 and 4, Regency Square"
17554574h,http://example.com/country/id/145,Fritton Old Hall
17557267h,http://example.com/country/id/145,11 Market End
17619057h,http://example.com/country/id/33,Agronomitalo
17793480h,http://example.com/country/id/145,Hilton Edinburgh Carlton
17834531h,http://example.com/country/id/145,1 Tower Knowe
17834546h,http://example.com/country/id/145,"Hawick, 1 Tower Dykeside"
17834566h,http://example.com/country/id/145,"Hawick, 3, 4 Tower Dykeside"
17835167h,http://example.com/country/id/145,2 Tower Dykeside
1795050h,http://example.com/country/id/30,Palace Station
18008489h,http://example.com/country/id/29,Torre del Remei
18112026h,http://example.com/country/id/145,DoubleTree by Hilton Hotel London - Chelsea
18286846h,http://example.com/country/id/55,Waldorf Astoria Amsterdam
18340195h,http://example.com/country/id/213,Hybernská 12
18509174h,http://example.com/country/id/79,Fayrouz Ressort
18509281h,http://example.com/country/id/79,Hilton Hurghada Resort
18534517h,http://example.com/country/id/145,Hilton London Syon Park
18536h,http://example.com/country/id/145,The Shard
18547h,http://example.com/country/id/148,Shanghai Tower
18712428h,http://example.com/country/id/851,Makkah Clock Royal Tower Hotel
1874734h,http://example.com/country/id/213,Hotel International Prague
18760038h,http://example.com/country/id/33,Munkkiniemi education center
1879918h,http://example.com/country/id/183,Löwenburger Hof
18813051h,http://example.com/country/id/55,Hilton Rotterdam
189476h,http://example.com/country/id/851,Abraj Al Bait
19307691h,http://example.com/country/id/145,Hilton Garden Inn London Heathrow Airport
19348190h,http://example.com/country/id/142,"25, place Dauphine"
19362430h,http://example.com/country/id/39,Gasthof Krone
1943482h,http://example.com/country/id/38,Hilton Molino Stucky Venice
19513101h,http://example.com/country/id/145,Hilton Manchester Deansgate
19564041h,http://example.com/country/id/34,Hedemora stadshotell
19817552h,http://example.com/country/id/16,Delta Toronto Hotel
19864040h,http://example.com/country/id/30,Ambassador Hotel
19962146h,http://example.com/country/id/183,CloudNo7
20046383h,http://example.com/country/id/183,Hilton Bonn
20075891h,http://example.com/country/id/212,Hilton Kyiv
202599h,http://example.com/country/id/30,Stardust Resort and Casino
2048307h,http://example.com/country/id/30,Palms Casino Resort
20650664h,http://example.com/country/id/142,La Clef Louvre
20828319h,http://example.com/country/id/30,Villa Santana
20830632h,http://example.com/country/id/30,Bluebeard's Castle
2110681h,http://example.com/country/id/183,Prinzenpalais
2135814h,http://example.com/country/id/55,Hilton Amsterdam
21402642h,http://example.com/country/id/30,18 Gramercy Park
2141411h,http://example.com/country/id/252,Hilton Bandung
21504226h,http://example.com/country/id/145,Hilton Birmingham Metropole
