country_name,name,c_id,s
Algeria,Mosque Hadj Messaoud,http://example.com/country/id/262,65643585w
Algeria,Mosque Hadj Mhamed,http://example.com/country/id/262,65643584w
Algeria,Mosque Oukhira,http://example.com/country/id/262,65643569w
Algeria,Mosque Sidi Brahim,http://example.com/country/id/262,65643568w
Algeria,Museum of Antiquities,http://example.com/country/id/262,3330723m
Algeria,Museum of Modern Art of Algiers,http://example.com/country/id/262,663776m
Algeria,Museum of Popular Arts and Traditions,http://example.com/country/id/262,3330178m
Algeria,National Library of Algeria,http://example.com/country/id/262,http://example.com/building/id/2901476b
Algeria,Notre Dame d'Afrique,http://example.com/country/id/262,http://example.com/building/id/2088381b
Algeria,Palm grove Ghardaïa,http://example.com/country/id/262,65643541w
Algeria,People's Liberation Army Museum,http://example.com/country/id/262,7165602m
Algeria,Pont El Kantara,http://example.com/country/id/262,http://example.com/building/id/3396829b
Algeria,Pont Mellah Slimane,http://example.com/country/id/262,http://example.com/building/id/3368272b
Algeria,Prayer Hall Abou Baker,http://example.com/country/id/262,65643576w
Algeria,Prayer Hall Cheikh Baelhadj,http://example.com/country/id/262,65643596w
Algeria,Prayer Hall Sidi Aïssa,http://example.com/country/id/262,65643583w
Algeria,Rais Palace,http://example.com/country/id/262,3361082m
Algeria,Royal Mausoleum of Mauretania,http://example.com/country/id/262,3301866w
Algeria,Royal Mausoleum of Mauretania,http://example.com/country/id/262,http://example.com/building/id/3301866b
Algeria,Sidi Rached Viaduct,http://example.com/country/id/262,http://example.com/building/id/2103641b
Algeria,Tafourah - Grande Poste,http://example.com/country/id/262,http://example.com/building/id/3513795b
Algeria,Tassili n'Ajjer,http://example.com/country/id/262,190048w
Algeria,Timgad,http://example.com/country/id/262,459629w
Algeria,Tipasa eastern archaeological zone,http://example.com/country/id/262,65643680w
Algeria,Tipasa trading-post,http://example.com/country/id/262,3529269w
Algeria,Tipasa western archaeological zone,http://example.com/country/id/262,65643679w
Algeria,Tipaza Longwave Transmitter,http://example.com/country/id/262,http://example.com/building/id/339987b
Algeria,Tomb Ami Said,http://example.com/country/id/262,65643600w
