cname,s,country_id,name
Algeria,http://example.com/heritage/id/457362w,http://example.com/country/id/262,Djemila
Algeria,http://example.com/heritage/id/459629w,http://example.com/country/id/262,Timgad
Algeria,http://example.com/heritage/id/500367w,http://example.com/country/id/262,Beni Hammad Fort
Algeria,http://example.com/heritage/id/65643514w,http://example.com/country/id/262,Ksar El Atteuf
Algeria,http://example.com/heritage/id/65643515w,http://example.com/country/id/262,Ksar Bounoura
Algeria,http://example.com/heritage/id/65643516w,http://example.com/country/id/262,Ksar Melika
Algeria,http://example.com/heritage/id/65643540w,http://example.com/country/id/262,palm grove El Atteuf
Algeria,http://example.com/heritage/id/65643541w,http://example.com/country/id/262,Palm grove Ghardaïa
Algeria,http://example.com/heritage/id/65643542w,http://example.com/country/id/262,palm grove Bounoura
Algeria,http://example.com/heritage/id/65643543w,http://example.com/country/id/262,palm grove Beni Isguen
Algeria,http://example.com/heritage/id/65643551w,http://example.com/country/id/262,Agherm N'tlasdit
Algeria,http://example.com/heritage/id/65643552w,http://example.com/country/id/262,Agherm Baba Saad
Algeria,http://example.com/heritage/id/65643568w,http://example.com/country/id/262,Mosque Sidi Brahim
Algeria,http://example.com/heritage/id/65643569w,http://example.com/country/id/262,Mosque Oukhira
Algeria,http://example.com/heritage/id/65643570w,http://example.com/country/id/262,Mosque Ba Abdellah
Algeria,http://example.com/heritage/id/65643572w,http://example.com/country/id/262,Mosque Bayoub Boukacem
Algeria,http://example.com/heritage/id/65643576w,http://example.com/country/id/262,Prayer Hall Abou Baker
Algeria,http://example.com/heritage/id/65643579w,http://example.com/country/id/262,Mosque Aguerm Ouadaï
Algeria,http://example.com/heritage/id/65643583w,http://example.com/country/id/262,Prayer Hall Sidi Aïssa
Algeria,http://example.com/heritage/id/65643584w,http://example.com/country/id/262,Mosque Hadj Mhamed
Algeria,http://example.com/heritage/id/65643585w,http://example.com/country/id/262,Mosque Hadj Messaoud
Algeria,http://example.com/heritage/id/65643588w,http://example.com/country/id/262,Mosque Ba Abderrahmane
Algeria,http://example.com/heritage/id/65643592w,http://example.com/country/id/262,Mosque Ba Mhamed
Algeria,http://example.com/heritage/id/65643596w,http://example.com/country/id/262,Prayer Hall Cheikh Baelhadj
Algeria,http://example.com/heritage/id/65643599w,http://example.com/country/id/262,Mosque Ami Said
Algeria,http://example.com/heritage/id/65643600w,http://example.com/country/id/262,Tomb Ami Said
Algeria,http://example.com/heritage/id/65643603w,http://example.com/country/id/262,Mosque Baba Oualdjemma
Algeria,http://example.com/heritage/id/65643607w,http://example.com/country/id/262,Mosque Baba Saad
Algeria,http://example.com/heritage/id/65643679w,http://example.com/country/id/262,Tipasa western archaeological zone
Algeria,http://example.com/heritage/id/65643680w,http://example.com/country/id/262,Tipasa eastern archaeological zone
Algeria,http://example.com/heritage/id/662102w,http://example.com/country/id/262,Casbah of Algiers
Algeria,http://example.com/heritage/id/724484w,http://example.com/country/id/262,M'zab
Algeria,http://example.com/heritage/id/817274w,http://example.com/country/id/262,Beni Isguen
Andorra,115748397b,http://example.com/country/id/228,Pont de Paris
Andorra,20968895m,http://example.com/country/id/228,Motorcycle Museum
Andorra,2912535m,http://example.com/country/id/228,Museu Postal
Andorra,2912615m,http://example.com/country/id/228,Farga Rossell
Andorra,2912621m,http://example.com/country/id/228,Casa d'Areny-Plandolit
Andorra,3137862b,http://example.com/country/id/228,Pont de la Margineda
Andorra,3379232b,http://example.com/country/id/228,Envalira Tunnel
Andorra,7228014b,http://example.com/country/id/228,Pont d'Anyós
Andorra,7228015b,http://example.com/country/id/228,Pont d'Engordany
Andorra,7228021b,http://example.com/country/id/228,Pont de la Tosca
Andorra,7228022b,http://example.com/country/id/228,Pont dels Escalls
Andorra,http://example.com/heritage/id/332800w,http://example.com/country/id/228,Madriu-Perafita-Claror Valley
Angola,10333588m,http://example.com/country/id/916,Museu Nacional de Antropologia
Angola,31211b,http://example.com/country/id/916,National Bank of Angola
Angola,60580210m,http://example.com/country/id/916,Museum of Dundo
Angola,84737696m,http://example.com/country/id/916,National Archaeology Museum
Angola,868140m,http://example.com/country/id/916,National Museum of Slavery
Angola,http://example.com/heritage/id/500189w,http://example.com/country/id/916,M'banza-Kongo
Antigua and Barbuda,2912720m,http://example.com/country/id/781,Museum of Antigua and Barbuda
Antigua and Barbuda,http://example.com/heritage/id/1435206w,http://example.com/country/id/781,Nelson's Dockyard
Argentina,1024829m,http://example.com/country/id/414,Buenos Aires Cabildo
Argentina,1044919b,http://example.com/country/id/414,Line E
Argentina,1062157b,http://example.com/country/id/414,Estadio Mario Alberto Kempes
Argentina,10940165m,http://example.com/country/id/414,Roberto Galian Railway Museum
Argentina,1108956m,http://example.com/country/id/414,Fortabat Art Collection
Argentina,111837159m,http://example.com/country/id/414,Museo Colegio del Sagrado Corazón
Argentina,111904058m,http://example.com/country/id/414,First School Museum
Argentina,111904072m,http://example.com/country/id/414,Railway Museum of Puerto Deseado
Argentina,111904083m,http://example.com/country/id/414,Malvinas Argentinas War Museum
Argentina,111956653m,http://example.com/country/id/414,Calafate Interpretation Center
Argentina,111972284m,http://example.com/country/id/414,"Boxer's Museum ""Casa de José María Gatica"""
Argentina,111972656m,http://example.com/country/id/414,"Artisan Museum ""René James Sotelo"""
Argentina,111972749m,http://example.com/country/id/414,"Museum of Education ""Francisco Lázaro Fratti"""
Argentina,111981673m,http://example.com/country/id/414,Regional Museum of the Southeast Chaco
Argentina,111981683m,http://example.com/country/id/414,"Folkloric Museum ""María Lilia Otañez de Basso""."
Argentina,111990958m,http://example.com/country/id/414,Jallpha Kalchaki Museum
Argentina,111991019m,http://example.com/country/id/414,Lola Mora Pre-Columbian and Antiquities Museum
Argentina,111991042m,http://example.com/country/id/414,Güemes Museum
