s,hotel_name,country_name
63859908h,Hilton Garden Inn Tirana,Albania
63869688h,DoubleTree by Hilton Kocaeli,Turkey
63883252h,Hilton Moorea Lagoon Resort & Spa,France
63885416h,Hilton Garden Inn Birmingham Brindleyplace,United Kingdom
63975276h,Hampton by Hilton Belfast City Centre,United Kingdom
6411467h,King Edward Hotel,United States of America
64152343h,DoubleTree by Hilton Cambridge Belfry,United Kingdom
64363310h,DoubleTree by Hilton Hotel Bristol City Centre,United Kingdom
6439146h,Krrish Square,Sri Lanka
6448583h,Vakil Caravanserai,Iran
646339h,Hotel Torni,Finland
64701276h,Hilton Seychelles Labriz Resort & Spa,Seychelles
64769038h,Washingtonova 23,Czech Republic
64785112h,"Hotel Villa Magna, Madrid",Spain
64822290h,Hilton Reykjavik Nordica,Iceland
64827562h,Hilton Garden Inn Singapore Serangoon,Singapore
64845950h,Hampton by Hilton Amsterdam / Arena Boulevard,Netherlands
64845961h,Conrad Algarve,Portugal
64859000h,Hilton Colombo,Sri Lanka
64868965h,Hilton Garden Inn Bristol City Centre,United Kingdom
64933804h,Hilton Garden Inn Ras Al Khaimah,United Arab Emirates
6493973h,Lassen Hotel,United States of America
64992591h,Hampton by Hilton Exeter Airport,United Kingdom
65037569h,Parnitha Sanatorium,Greece
65042009h,Broadway Hotel,United States of America
65042333h,The Salvation Army Building,United States of America
65043882h,Rickman House,United States of America
65218555h,"Danubius Hotel Hungaria City Center, Budapest",Hungary
6538417h,Zargar Yazdi House,Iran
654279h,Aria Resort and Casino,United States of America
654906h,Binion's Horseshoe,United States of America
656743h,Kingdom Centre,Saudi Arabia
65769542h,DoubleTree by Hilton Carcassonne,France
65770076h,Hilton Garden Inn Glasgow City Centre,United Kingdom
66423173h,Waldorf Astoria Ras Al Khaimah,United Arab Emirates
66424250h,Hilton Garden Inn Istanbul Golden Horn Turkey,Turkey
66437370h,DoubleTree by Hilton Dubai - Business Bay,United Arab Emirates
66439260h,DoubleTree by Hilton Hotel Gurgaon - New Delhi NCR,India
66586875h,Hilton Makkah Convention Hotel,Saudi Arabia
66658603h,Hilton Pattaya,Thailand
66660297h,Hilton Garden Inn Dubai Al Mina,United Arab Emirates
66771676h,Hilton Shillim Estate Retreat & Spa,India
66813051h,"Palácio Hotel de Bussaco, Palacete Hotel do Buçaco",Portugal
66813690h,Castle of Estremoz,Portugal
66814366h,"Hotel Ritz, incluindo o património integrado",Portugal
66924306h,Jurys Inn Leeds,United Kingdom
66969081h,Hampton by Hilton Leeds City Centre,United Kingdom
66969175h,Ibis Leeds Centre,United Kingdom
66969326h,Hilton Leeds City,United Kingdom
67013894h,DoubleTree by Hilton Hotel Olbia - Sardinia,Italy
67206508h,Hilton Garden Inn Rome Airport,Italy
6747847h,Mandarin Orchard Singapore,Singapore
6747856h,Loews Regency San Francisco,United States of America
6751307h,Manor Apartment Hotel,Australia
67765140h,Conrad Koh Samui,Thailand
67863357h,Hilton Glasgow Grosvenor,United Kingdom
67868674h,DoubleTree by Hilton Royal Parc Soestduinen,Netherlands
67874379h,Hampton by Hilton Dundee City Centre,United Kingdom
67920401h,Hilton Malta,Malta
68121379h,Parkhotel Praha,Czech Republic
68167138h,Hotel Pyramida,Czech Republic
6824905h,Metropolis,New Zealand
6869131h,Minor Sod House,United States of America
6914041h,Morrison Hotel,United States of America
691491h,Paris Las Vegas,United States of America
69383898h,Hilton Sydney,Australia
69531148h,Hampton by Hilton Amsterdam Airport Schiphol,Netherlands
69647678h,Hilton Aberdeen TECA,United Kingdom
696927h,Oheka Castle,United States of America
70206906h,Hilton Garden Inn Kuala Lumpur Jalan Tuanku Abdul Rahman North,Malaysia
7040843h,Nisiyama Onsen Keiunkan,Japan
7126178h,Palace Hotel Residential Tower,United States of America
713960h,MGM Grand Las Vegas,United States of America
71409297h,Hilton London Watford,United Kingdom
71817207h,Hampton by Hilton Warsaw Airport,Poland
71828738h,"Hilton Puckrup Hall, Tewkesbury",United Kingdom
7203612h,Plaza Hotel & Casino,United States of America
72067004h,DoubleTree by Hilton Moscow - Vnukovo Airport,Russia
7216435h,Hilton Tel Aviv,Israel
72172868h,DoubleTree by Hilton Madrid - Prado,Spain
72177013h,Palacete B. Carrera,Brazil
72278577h,Hilton Jaipur,India
7247936h,Professional Building,United States of America
72812966h,Hilton Addis Ababa,Ethiopia
7281354h,Hilton Dubai Creek,United Arab Emirates
72988389h,DoubleTree by Hilton Hotel Zanzibar - Stone Town,Tanzania
7304924h,"Red Rock Casino, Resort & Spa",United States of America
731089h,Willard InterContinental Washington,United States of America
73274620h,Pellihof,Germany
7336896h,Ritz-Carlton Chicago,United States of America
73499085h,Hampton by Hilton Berlin City Centre Alexanderplatz,Germany
73621829h,Hilton Luxor Resort & Spa,Egypt
73640935h,Santa Casa da Misericórdia de Óbidos,Portugal
7374338h,Royal Insurance Building,United Kingdom
737602h,Aspire Tower,Qatar
73879785h,Hilton Mandalay,Myanmar
73898961h,Hilton Garden Inn Zagreb - Radnicka,Croatia
739914h,Rio All-Suite Hotel and Casino,United States of America
7419570h,Santa Fe Station,United States of America
743147h,Hotel Negresco,France
74527699h,Hilton Capital Grand Abu Dhabi,United Arab Emirates
74665770h,DoubleTree by Hilton Hotel Jakarta - Diponegoro,Indonesia
74812978h,DoubleTree by Hilton Hotel Aqaba,Jordan
75018491h,Hilton Garden Inn Krakow,Poland
7503956h,Shrigley Hall,United Kingdom
7520490h,Simonsbath House,United Kingdom
752939h,RMS Queen Mary,United States of America
7553765h,Sofitel Chicago Water Tower,United States of America
7553767h,DoubleTree by Hilton Hotel Shanghai - Pudong,People's Republic of China
7553769h,Pullman Bangkok Hotel G,Thailand
75721557h,DoubleTree by Hilton Edinburgh - Queensferry Crossing,United Kingdom
7575371h,Speech House,United Kingdom
7591596h,St. Regis Museum Tower,United States of America
75971164h,Hilton Garden Inn Riyadh Olaya,Saudi Arabia
76021053h,ANA Crowne Plaza Akita,Japan
76355045h,Arena Center,Albania
7641354h,Sunset Station,United States of America
7643550h,Superior Oil Company Building,United States of America
76620470h,Hampton by Hilton Dubai Al Barsha,United Arab Emirates
76721707h,Hilton Kuching,Malaysia
76724214h,DoubleTree by Hilton Krakow Hotel & Convention Center,Poland
76726211h,DoubleTree by Hilton Hotel Moscow - Marina,Russia
76795105h,Hilton Sharks Bay Resort,Egypt
7720948h,The Cairo,United States of America
7730896h,The Drayton Court,United Kingdom
7736171h,The George Hotel,United Kingdom
77416106h,DoubleTree by Hilton Glasgow Westerwood Spa & Golf Resort,United Kingdom
77418726h,Hilton Garden Inn Lusaka Society Business Park,Zambia
7745429h,The Landmark Hotel and Casino,United States of America
7754900h,"The Old Rectory, St Columb Major",United Kingdom
7756547h,The Peninsula Chicago,United States of America
7774298h,The Western,United States of America
779373h,The Linq,United States of America
78036841h,Hilton Guam Resort & Spa,United States of America
78054939h,"AlRayyan Hotel Doha, Curio Collection by Hilton",Qatar
7832418h,"The Trafalgar St. James London, Curio Collection by Hilton",United Kingdom
78897920h,"West Hotel Sydney, Curio Collection by Hilton",Australia
79309518h,MLC Building,New Zealand
7969454h,Merdeka 118,Malaysia
7988922h,Westin Las Vegas,United States of America
7988923h,Westin San Francisco Market Street,United States of America
7988926h,Westin St. Francis,United States of America
79942014h,Hotel Amigo,Belgium
804686h,Balboa Inn,United States of America
804702h,Balch Hotel,United States of America
805467h,Bally's Las Vegas Hotel & Casino,United States of America
81100400h,Casa Pere Villoch,Spain
81100403h,Edifici Companyia Transatlàntica,Spain
81495406h,DoubleTree by Hilton Bangkok Ploenchit,Thailand
84029894h,Hampton by Hilton Nuremberg City Centre,Germany
845846h,"The STRAT Hotel, Casino & SkyPod",United States of America
851102h,Hotel Kvarner,Croatia
85749503h,Bump Block-Bellevue House-Hawthorne Hotel,United States of America
85758819h,El Monte Hotel,United States of America
85802924h,St. Nicholas Hotel,United States of America
85845504h,Berwyn Apartments,United States of America
86595792h,Valkealinna,Finland
86754328h,Inez Hotel,United States of America
869378h,California Hotel and Casino,United States of America
89425684h,Rawema-Haus,Germany
896259h,Monrepos,Germany
900983h,The Mirage,United States of America
90404749h,Hilton Durban,South Africa
9054487h,Palácio do Freixo,Portugal
90545243h,Hilton Garden Inn Sevilla,Spain
90682834h,Hilton Sandton,South Africa
91607548h,Hilton Suites Makkah,Saudi Arabia
916673h,The Signature at MGM Grand,United States of America
92176916h,Hilton London Heathrow Airport Terminal 5,United Kingdom
9294078h,Hilton Gdańsk,Poland
9294080h,Hotel Jalta,Czech Republic
9294281h,Ameri House,Iran
93121772h,Hôtel Napoléon,France
9358597h,El Rancho Hotel and Casino,United States of America
952861h,World Trade Centre Montreal,Canada
96377064h,Hilton Bursa Convention Center and Spa,Turkey
96743206h,Great Falls Tavern,United States of America
96757505h,Pazo of the Maceda Counts,Spain
96787014h,Hilton Garden Inn Kuwait,Kuwait
979477h,Athenee Palace Hilton Bucharest,Romania
98407274h,Albertinkatu 34 - Lönnrotinkatu 26,Finland
98407275h,Albertinkatu 34,Finland
98407311h,Annankatu 1,Finland
98412731h,Hotelli Helsinki,Finland
98412733h,Hotelli Marskin talo,Finland
98413370h,Kanavakatu 8,Finland
98432053h,Pohjoinen Rautatiekatu 23,Finland
98433308h,Valion juustovaraston rakennus,Finland
98433345h,Valtion biokemiallisen tutkimuslaitoksen laboratoriorakennus,Finland
98433742h,Katajanokan vankilan rakennus,Finland
98433825h,Suomi-yhtiön talo,Finland
98550889h,Villa Gaia,Italy
98582250h,Hotel Villa,Finland
9871323h,Convento das Eremitas de Santo Agostinho,Portugal
98784123h,"Stadshotellet, Karlstad",Sweden
99454646h,Conrad Bengaluru,India
995338h,Bryson Apartment Hotel,United States of America
99583717h,Hôtel van Ertborn,Belgium
99703247h,Grand Hôtel,France
