s,hotel_name,country_name
167870h,Boardwalk Hotel and Casino,United States of America
1682221h,Dagebüll lighthouse,Germany
16833188h,Lloyd-Bahnhof,Germany
16843761h,Hilton Diagonal Mar Barcelona,Spain
168575h,CTF Finance Centre,People's Republic of China
16890775h,Crown Sydney,Australia
16949846h,B&O Railroad Headquarters Building,United States of America
16995460h,Wyndham Springfield City Centre,United States of America
17043498h,Viciebsk,Belarus
17183802h,"Castle Hotel, Ruthin",United Kingdom
17226268h,Hilton Tokyo,Japan
17229982h,Hilton Fukuoka Sea Hawk,Japan
17390148h,Citadel of Cascais,Portugal
1743514h,Kirkland Hotel,United States of America
17444603h,Hilton Frankfurt Airport,Germany
17444624h,Hilton Garden Inn Frankfurt Airport,Germany
17444904h,DoubleTree by Hilton Hotel London - Docklands Riverside,United Kingdom
17512898h,Arlington Hotel,Canada
17532427h,Stanley House,United Kingdom
17533843h,Polebarn House,United Kingdom
17534979h,5 and 7 High Street and Falcon Hotel Annexe,United Kingdom
17544934h,Barton Seagrave Hall,United Kingdom
17549646h,"2, 3 and 4, Regency Square",United Kingdom
17554574h,Fritton Old Hall,United Kingdom
17557267h,11 Market End,United Kingdom
17619057h,Agronomitalo,Finland
17793480h,Hilton Edinburgh Carlton,United Kingdom
17834531h,1 Tower Knowe,United Kingdom
17834546h,"Hawick, 1 Tower Dykeside",United Kingdom
17834566h,"Hawick, 3, 4 Tower Dykeside",United Kingdom
17835167h,2 Tower Dykeside,United Kingdom
1795050h,Palace Station,United States of America
18008489h,Torre del Remei,Spain
18112026h,DoubleTree by Hilton Hotel London - Chelsea,United Kingdom
18286846h,Waldorf Astoria Amsterdam,Netherlands
18340195h,Hybernská 12,Czech Republic
18509174h,Fayrouz Ressort,Egypt
18509281h,Hilton Hurghada Resort,Egypt
18534517h,Hilton London Syon Park,United Kingdom
18536h,The Shard,United Kingdom
18547h,Shanghai Tower,People's Republic of China
18712428h,Makkah Clock Royal Tower Hotel,Saudi Arabia
1874734h,Hotel International Prague,Czech Republic
18760038h,Munkkiniemi education center,Finland
1879918h,Löwenburger Hof,Germany
18813051h,Hilton Rotterdam,Netherlands
189476h,Abraj Al Bait,Saudi Arabia
19307691h,Hilton Garden Inn London Heathrow Airport,United Kingdom
19348190h,"25, place Dauphine",France
19362430h,Gasthof Krone,Switzerland
1943482h,Hilton Molino Stucky Venice,Italy
19513101h,Hilton Manchester Deansgate,United Kingdom
19564041h,Hedemora stadshotell,Sweden
19817552h,Delta Toronto Hotel,Canada
19864040h,Ambassador Hotel,United States of America
19962146h,CloudNo7,Germany
20046383h,Hilton Bonn,Germany
20075891h,Hilton Kyiv,Ukraine
202599h,Stardust Resort and Casino,United States of America
2048307h,Palms Casino Resort,United States of America
20650664h,La Clef Louvre,France
20828319h,Villa Santana,United States of America
20830632h,Bluebeard's Castle,United States of America
2110681h,Prinzenpalais,Germany
2135814h,Hilton Amsterdam,Netherlands
21402642h,18 Gramercy Park,United States of America
2141411h,Hilton Bandung,Indonesia
21504226h,Hilton Birmingham Metropole,United Kingdom
21532003h,Radisson Blu Hotel in Bamako,Mali
21568919h,Tabacos de Filipinas building,Spain
21619228h,Sheraton Guiyang Hotel,People's Republic of China
220141h,Waldorf Astoria Berlin,Germany
22073967h,Hilton Bournemouth,United Kingdom
22118627h,Global Gate,Japan
22583354h,Nový Pachtovský palác,Czech Republic
2258969h,Eureka Inn,United States of America
2297323h,Delano Las Vegas,United States of America
22976715h,Hilton Dubai The Walk,United Arab Emirates
22997753h,Bay Mills Resort & Casino,United States of America
23265h,Hôtel des 3 Collèges,France
23305592h,"Kewadin Casino, Hotel and Convention Center",United States of America
2363048h,Place Viger,Canada
23640921h,Bowen River Hotel,Australia
23646439h,"100 Queen's Gate Hotel London, Curio Collection by Hilton",United Kingdom
23685988h,DoubleTree by Hilton Hotel Bristol North,United Kingdom
23828028h,Edificio Gran Vía 4,Spain
23907594h,CAAC Tower,People's Republic of China
23907601h,The London NYC,United States of America
2398831h,Teatro Eden,Portugal
24054070h,Hilton Cambridge City Centre,United Kingdom
240711h,Hotel Chelsea,United States of America
2416198h,MGM Grand Detroit,United States of America
