s,museum_name,country_name
113309705m,Cleveland Crafts Centre,United Kingdom
113309969m,Suffolk Underwater Studies Museum,United Kingdom
113310082m,Stalham Firehouse Museum,United Kingdom
113310214m,Halesworth and District Museum,United Kingdom
113310270m,Saxmundham Museum,United Kingdom
113310314m,The Suffolk Punch Trust Heritage Museum,United Kingdom
113310449m,Morris Motors Museum,United Kingdom
113310621m,Bentwaters Cold War Museum,United Kingdom
113310920m,Defence of the Nation Museum and Education Centre,United Kingdom
113311877m,Museum of The Northamptonshire Regiment,United Kingdom
113322894m,Norfolks Golden Fleece Heritage Museum,United Kingdom
113323706m,Bawdsey Radar,United Kingdom
113324964m,Deal Society Heritage Centre and Victoriana Museum,United Kingdom
113330833m,The Zaha Hadid Foundation,United Kingdom
113334561m,Deal Museum,United Kingdom
113334586m,St John Ambulance Museum,United Kingdom
113357026m,North Walsham Heritage Centre,United Kingdom
113357145m,St Margaret's Museum,United Kingdom
113357272m,Norfolk Motorcycle Museum,United Kingdom
113357363m,British Magic Museum,United Kingdom
113357382m,Museum of Magic - Davenports Magic Kingdom,United Kingdom
113357399m,Laxfield & District Museum,United Kingdom
113357818m,Spitfire & Hurricane Memorial Museum,United Kingdom
113358737m,RAF Coltishall Heritage Centre,United Kingdom
113360215m,The Precinct Toy Collection,United Kingdom
113360479m,Easton Farm Park,United Kingdom
113360517m,Princess of Wales's Royal Regiment and Queen's Regiment Museum,United Kingdom
113360609m,Felixstowe Museum,United Kingdom
113360629m,Woodbridge Museum,United Kingdom
113360664m,Old Town Gaol,United Kingdom
113360701m,RNLI Henry Blogg Museum,United Kingdom
113360827m,John Jarrold Printing Museum,United Kingdom
113360861m,Norwich Printing Museum,United Kingdom
113360995m,Harleston Museum,United Kingdom
113361554m,St Peter Hungate Church Museum,United Kingdom
113361560m,Hungate Medieval Art,United Kingdom
113361577m,Norfolk Museum of Straw Works,United Kingdom
113363421m,Compton Down Railway Museum,United Kingdom
113363671m,Tigh Iain Dhonnchaidh/cleadale Crofting Museum,United Kingdom
113363672m,Upperlands Heritage Museum,United Kingdom
113363673m,Boys Brigade Heritage Museum,United Kingdom
113363674m,Maccrimmon Piping Heritage Centre,United Kingdom
113363675m,Borreraig Park Museum,United Kingdom
113363676m,Isle Of Skye Ecomuseum,United Kingdom
113363677m,Seallam! Visitor Centre,United Kingdom
113363678m,Blessingbourne Carriage And Costume Museum,United Kingdom
113363679m,Carletons Cottage,United Kingdom
113363681m,Old Byre Heritage Centre,United Kingdom
113363682m,Pogues Entry Historical Cottage,United Kingdom
113363683m,Us Grant Ancestral Homeland,United Kingdom
113363684m,Gracehill Old School Museum,United Kingdom
113363685m,Ravenspoint Museum,United Kingdom
113363686m,Milford House Museum,United Kingdom
113363687m,Garvagh Museum And Heritage Centre,United Kingdom
113363688m,Moneypenny's Lock House,United Kingdom
113363689m,Bronte Interpretive Centre,United Kingdom
113363690m,Wilson Ancestral Home,United Kingdom
113363692m,Cornwall Geological Museum,United Kingdom
113363696m,Springhill,United Kingdom
113363697m,Iona Abbey Museum,United Kingdom
113363698m,Oban Museum,United Kingdom
113363699m,Shawbost Folk Museum,United Kingdom
113363700m,Ulster Aviation Society,United Kingdom
113363701m,Island Turf Craft & Bog Museum,United Kingdom
113363702m,Fermanagh County Museum,United Kingdom
113363703m,Staffin Dinosaur Museum,United Kingdom
113363704m,Irish Linen Centre And Lisburn Museum,United Kingdom
113363705m,The Argory,United Kingdom
113363706m,Dell Mill,United Kingdom
113363707m,Museum Bharraigh Agus Bhatarsaidh,United Kingdom
113363708m,Museum of the Isles,United Kingdom
113363709m,Skerryvore Lighthouse Museum,United Kingdom
113363710m,Museum Cheann Aloch,United Kingdom
113363711m,Police Museum,United Kingdom
