name,country,build_id
Alberto Lleras Dam,https://www.wikidata.org/wiki/Q739,https://example.com/build_id/101069198b
"InterContinental Presidente Mexico City, an Ihg Hotel",https://www.wikidata.org/wiki/Q96,https://example.com/build_id/111415610b
Lyon Cathedral,https://www.wikidata.org/wiki/Q142,https://example.com/build_id/1521b
